Topic,Word,Frequency
671,aug,1
672,forwarded,1
673,rpo,2
674,ranchi,1
675,confirm,1
676,received,1
677,p8108100,1
678,sent,1
679,koramangala,2
680,rented,1
681,car,1
682,driver,1
683,coimbatore,1
684,evac,1
685,fill,1
686,sidhu,1
687,tne,1
688,earliest,1
689,response,1
690,appreciated,1
691,honourable,1
692,sushmaji,1
693,client,1
694,canada,2
695,stuck,1
696,e,1
697,mentioned,1
698,citizen,1
699,bangladeshi,2
700,fake,2
701,kuwait,1
702,arrested,1
703,bengaluru,1
704,fare,1
705,office,1
706,bengladeshi,1
707,hearing,1
708,rahulgandhi,1
709,many,1
710,documentations,1
711,happening,1
712,karnataka,1
713,rule,1
714,answer,1
715,thanks,3
716,cisf,1
717,police,2
718,havenlost,1
719,passports,2
720,called,1
721,found,1
722,hand,3
723,great,1
724,full,1
725,wow,1
726,illegal,1
727,staying,1
728,bhubaneswar,1
729,4,1
730,pancard,1
731,trying,1
732,go,1
733,saudiarabia,1
734,glasses,1
735,wine,1
736,far,1
737,anniesgale,1
738,pulled,1
739,guard,1
740,guy,1
741,barman,1
742,onfire,1
743,checked,1
744,9,1
745,reassuring,1
746,actually,1
747,cool,1
748,wifi,1
749,password,1
750,lounge,1
751,seriously,1
752,surveillance,1
753,traveller,2
754,led,1
755,dark,1
756,room,1
757,asked,3
758,submit,1
759,folded,1
760,coz,1
761,ask,1
762,relevant,1
763,questions,1
764,fold,1
765,put,1
766,inspector,1
767,ashish,1
768,mr,1
769,kumndan,1
770,effort,1
771,search,1
772,valuable,1
773,cards,1
774,etc,1
775,left,1
776,forget,1
777,somewhere,1
778,stopped,1
779,leaving,1
780,india,2
781,bangalore,47
782,airport,47
783,exit,1
784,control,1
785,list,1
786,got,1
787,passport,50
788,back,4
789,court,1
790,order,1
791,specifically,1
792,trip,2
793,us,2
794,desi,1
795,british,1
796,holder,2
797,always,2
798,communicate,1
799,hindi,1
800,speak,1
801,kannada,1
802,stay,1
803,gestures,1
804,loosing,1
805,nightmare,1
806,thank,2
807,staff,1
808,cisfhqrs,1
809,helping,1
810,find,1
811,brother,1
812,impounded,3
813,immigration,10
814,authority,2
815,due,1
816,high,1
817,negligance,1
818,system,1
819,allowed,1
820,travel,2
821,shame,1
822,value,1
823,common,1
824,person,1
825,country,1
826,urgent,1
827,action,1
828,one,5
829,officer,5
830,counter,3
831,tore,1
832,cousin,1
833,intentionally,1
834,restricted,1
835,traveling,2
836,clear,1
837,harassment,1
838,domestic,1
839,airlines,1
840,usa,3
841,driving,1
842,licence,1
843,id,2
844,proof,1
845,atleast,1
846,soft,1
847,copy,3
848,chennai,1
849,vale,1
850,tinder,1
851,leke,1
852,pe,2
853,matches,1
854,dhund,1
855,rahe,1
856,honge,1
857,security,4
858,use,1
859,fast,1
860,dry,1
861,ink,2
862,stamp,3
863,boarding,3
864,pass,2
865,mess,1
866,unhealthy,1
867,folks,1
868,ocd,1
869,quite,2
870,astonishing,1
871,often,1
872,show,1
873,card,1
874,ever,2
875,need,1
876,experts,1
877,dumbest,1
878,check,3
879,bags,2
880,80,1
881,times,2
882,walk,1
883,right,1
884,around,1
885,without,1
886,notice,1
887,customs,4
888,officers,3
889,asking,2
890,using,1
891,passangers,1
892,buy,2
893,liquer,2
894,duty,2
895,free,2
896,shop,2
897,also,2
898,sale,1
899,higher,1
900,price,1
901,side,1
902,custom,1
903,made,1
904,whiskey,1
905,gave,1
906,70,1
907,took,1
908,kannur,1
909,center,1
910,lesser,1
911,time,1
912,issue,1
913,new,1
914,passports,3
915,4,2
916,indians,1
917,coming,3
918,home,2
919,welcome,1
920,change,1
921,separate,1
922,indian,4
923,holders,1
924,finish,1
925,another,1
926,official,1
927,checks,1
928,entry,1
929,seal,1
930,ran,1
931,old,3
932,friend,1
933,waiting,1
934,line,1
935,point,1
936,seen,1
937,years,2
938,husband,1
939,stoped,1
940,saying,1
941,revoked,1
942,ad,1
943,embassy,1
944,valid,1
945,six,1
946,month,2
947,validity,1
948,arrive,1
949,get,2
950,stamping,1
951,arrival,1
952,lost,1
953,lol,1
954,day,1
955,1,2
956,minute,1
957,world,1
958,via,1
959,youtube,1
960,stranded,1
961,visa,2
962,associated,1
963,pr,1
964,hello,1
965,madam,2
966,19,1
967,yr,1
968,son,1
969,oci,1
970,harassed,1
971,120,1
972,tv,1
973,bhai,1
974,yeh,1
975,fir,1
976,bhi,1
977,hyd,1
978,hai,1
979,best,1
980,delhi,2
981,mumbai,1
982,dekh,1
983,liya,1
984,toh,1
985,faad,1
986,doge,1
987,tum,1
988,smoothest,1
989,amp,1
990,process,1
991,take,2
992,corrupt,1
993,bombay,1
994,held,2
995,hostage,1
996,today,2
997,foreign,1
998,queue,1
999,3,3
1000,30,1
1001,rude,1
1002,unprofessional,2
1003,communication,1
1004,skills,1
1005,welcoming,1
1006,visitors,1
1007,sri,1
1008,lankan,1
1009,caught,2
1010,srilanka,1
1011,nofilter,1
1012,shoes,1
1013,20,1
1014,aug,2
1015,forwarded,1
1016,rpo,2
1017,ranchi,1
1018,please,2
1019,confirm,1
1020,received,2
1021,p8108100,1
1022,sent,1
1023,koramangala,2
1024,hell,1
1025,wrong,1
1026,dgca,1
1027,airindiain,1
1028,ai1336,1
1029,yet,1
1030,blr,2
1031,sg,1
1032,travellers,1
1033,stuck,4
1034,pilot,1
1035,fly,1
1036,plane,1
1037,forgot,1
1038,wife,1
1039,2,1
1040,small,1
1041,kids,1
1042,infant,1
1043,hi,2
1044,aramex,1
1045,shipment,2
1046,last,1
1047,weeks,1
1048,see,1
1049,status,1
1050,verify,1
1051,kyc,1
1052,details,1
1053,provide,1
1054,aadhar,2
