Topic,Word,Frequency
807,q,2
808,wheelchair,1
809,going,3
810,horrible,1
811,customer,1
812,etihad,1
813,ey,1
814,217,1
815,cancelled,1
816,13,1
817,10,1
818,22,1
819,update,1
820,till,1
821,6,2
822,fancy,1
823,walk,1
824,post,1
825,crosses,1
826,250,1
827,million,1
828,mark,1
829,june,1
830,blrairport,3
831,airside,1
832,transit,2
833,available,2
834,specifically,1
835,dubai,4
836,connecting,1
837,bangkok,1
838,without,3
839,passing,1
840,mumbai,4
841,chennai,1
842,airports,2
843,thanks,1
844,redundant,1
845,job,2
846,turnstiles,1
847,vivek,1
848,venugopal,1
849,helping,1
850,morning,1
851,assistance,1
852,appreciate,1
853,readiness,1
854,ever,1
855,jfk,1
856,ny,1
857,lines,3
858,two,1
859,immigrants,1
860,visitors,1
861,smooth,2
862,sail,1
863,yes,1
864,might,1
865,exceptions,1
866,times,2
867,cannot,2
868,complain,1
869,looking,1
870,fish,1
871,market,1
872,dozens,1
873,huge,1
874,almost,1
875,changed,1
876,friday,1
877,anyways,1
878,terminal,2
879,pressure,1
880,decrease,1
881,currently,1
882,requires,1
883,nammabengaluroo,1
884,within,1
885,kiranshaw,2
886,meaindia,1
887,drsjaishankar,1
888,part,1
889,excellent,1
890,normal,1
891,covid,2
892,test,3
893,quick,3
894,singling,1
895,management,1
896,complaining,1
897,whoever,1
898,involved,1
899,mismanaged,1
900,complacent,1
901,way,1
902,flights,4
903,capacity,1
904,actually,1
905,taking,1
906,wayy,1
907,load,1
908,designed,1
909,experienced,1
910,move,1
911,officials,1
912,harass,1
913,frustrated,1
914,land,1
915,past,1
916,midnight,1
917,tired,1
918,arriving,1
919,int,1
920,kept,1
921,waiting,3
922,find,1
923,key,1
924,open,2
925,hall,1
926,door,1
927,20,1
928,min,1
929,rushing,1
930,great,2
931,apt,1
932,mgt,1
933,70,1
934,please,3
935,something,3
936,jam,1
937,packed,1
938,kiosks,1
939,peak,1
940,need,1
941,improve,1
942,40,1
943,stopped,3
944,cbi,4
945,taken,1
946,look,1
947,circular,2
948,tweeted,1
949,thursday,3
950,says,3
951,nobody,2
952,answering,2
953,calls,2
954,head,1
955,aakar,1
956,patel,3
957,earlier,1
958,local,2
959,court,1
960,directed,1
961,central,1
962,bureau,1
963,investigation,1
964,withdraw,1
965,lookout,1
966,issued,1
967,co,1
968,ha,2
969,uncle,1
970,works,1
971,lot,1
972,hello,3
973,ring,1
974,ja,1
975,raha,2
976,hai,2
977,koi,1
978,nahi,1
979,utha,1
980,type,1
981,jokes,1
982,must,1
983,talking,1
984,wednesday,1
985,prevented,1
986,leaving,1
987,despite,1
988,judicial,1
989,order,1
990,permitting,1
991,outside,2
992,engagements,1
993,ktrtrs,1
994,lol,1
995,sorry,1
996,kidding,1
997,ages,2
998,looks,1
999,feels,2
1000,functions,1
1001,district,1
1002,ahead,1
1003,spent,3
1004,clear,3
1005,heathrow,1
1006,muscat,1
1007,rt,1
1008,pcr,1
1009,put,1
1010,hi,1
1011,tonight,1
1012,19,1
1013,boarding,3
1014,pass,2
1015,compltd,1
1016,ready,2
1017,lab,1
1018,proceed,1
1019,believed,1
1020,yeah,1
1021,common,2
1022,area,1
1023,ye,1
