Topic,Word,Frequency
878,gelato,1
879,Airport,5
880,sweet,1
881,treat,1
882,beat,2
883,heat.,2
884,Love,1
885,BLR,4
886,wide,1
887,selection,1
888,juices.,1
889,Staying,2
890,healthy,2
891,traveling.,1
892,Tried,2
893,local,3
894,mango,1
895,lassi.,1
896,refreshing.,1
897,miss,1
898,chaat,1
899,stall,1
900,Airport.,3
901,flavor,1
902,explosion,1
903,every,1
904,bite.,1
905,Stumbled,1
906,upon,1
907,bakery,3
908,pastries,1
909,heavenly,1
910,Waiting,1
911,connecting,1
912,plate,1
913,crispy,1
914,pakoras.,1
915,munchies,1
916,best.,1
917,can't,1
918,resist,1
919,aroma,1
920,freshly,1
921,baked,1
922,bread,1
923,bakery.,1
924,"Baguette,",1
925,anyone.,1
926,mini,1
927,festival.,1
928,options.,2
929,"Airport,",1
930,must,1
931,vada,1
932,pav.,1
933,favorite!,1
934,Grabbing,3
935,pizza,1
936,slice,1
937,go.,1
938,airport's,4
939,pizzeria,1
940,makes,1
941,amazing,1
942,thin-crust,1
943,pizzas.,1
944,Garden,1
945,"City,",1
946,locals,1
947,do.,1
948,Savored,1
949,coconut,1
950,courts,1
951,come,1
952,long,1
953,way.,1
954,Airport's,1
955,TRUE,1
956,culinary,1
957,adventure.,1
958,Found,1
959,cute,1
960,little,1
961,picked,1
962,macarons,1
963,journey.,1
964,quick,1
965,bite,1
966,truck.,1
967,kebabs,1
968,mouthwatering.,1
969,Indian,1
970,best.Tried,1
971,pani,1
972,puri,1
973,Stopping,1
974,muffin.,1
975,treats,1
976,perfect,1
977,mid-flight,1
978,snack.,1
979,track,1
980,salad,1
981,juice,1
982,bar.,1
983,Browsing,1
984,duty-free,1
985,shops,1
986,creamy,1
987,milkshake,1
988,hand.,1
989,Shopping,1
990,+,1
991,Shakes,1
992,=,1
993,Happiness.,1
994,tandoori,1
995,platter.,1
996,flavors,1
997,world.,1
998,smoothie,2
999,bar,1
1000,soon,1
1001,step,1
1002,bangalore,28
1003,airport,31
1004,building,1
1005,two,1
1006,things,1
1007,give,1
1008,trailer,1
1009,city,1
1010,1,1
1011,liquor,2
1012,open,1
1013,air,1
1014,food,38
1015,court,29
1016,full,1
1017,premium,1
1018,stores,2
1019,2,1
1020,traffic,1
1021,mess,1
1022,construction,1
1023,everywhere,1
1024,total,1
1025,chaos,1
1026,road,1
1027,kidding,1
1028,like,4
1029,downtown,1
1030,mountain,1
1031,view,1
1032,traveled,1
1033,mysore,1
1034,finding,2
1035,petrol,1
1036,pump,1
1037,difficult,1
1038,til,1
1039,karnataka,1
1040,style,1
1041,restaurant,2
1042,t3,1
1043,delhi,1
1044,high,1
1045,time,3
1046,one,2
1047,veena,1
1048,banagalore,1
1049,cafe,1
1050,equivalent,1
1051,huh,1
1052,pretty,1
1053,comprehensive,1
1054,landside,1
1055,2011,1
1056,precise,1
1057,sparrows,10
1058,could,2
1059,found,1
1060,inside,2
1061,terminal,2
1062,abundance,1
1063,tanuisance,1
1064,would,1
1065,eat,1
1066,droppings,1
1067,fact,1
1068,last,1
1069,saw,1
1070,close,2
1071,departure,1
1072,sharing,1
1073,6,1
1074,yrs,1
1075,ago,1
1076,hopping,1
1077,around,3
