Topic,Word,Frequency
964,differently,1
965,abled,1
966,socent,1
967,.,2
968,part,1
969,history,1
970,making,1
971,today,1
972,become,2
973,first,1
974,world,1
975,house,1
976,two,1
977,run,1
978,amp,2
979,managed,1
980,persons,2
981,disabilities,2
982,international,2
983,day,11
984,installation,1
985,kfc,2
986,brew,1
987,bar,2
988,done,1
989,interiorsignage,1
990,ledsign,1
991,signcompany,1
992,acpsignboard,1
993,signinstallation,1
994,exteriorsignage,1
995,signfabrication,1
996,signindustry,1
997,signagedesign,1
998,metalsign,1
999,kial,1
1000,ledlights,1
1001,amberlights,1
1002,kfcbangalore,1
1003,café,1
1004,anyone,2
1005,want,2
1006,hang,1
1007,outside,3
1008,feel,1
1009,really,1
1010,tempted,1
1011,never,2
1012,time,3
1013,energy,1
1014,til,1
1015,karnataka,3
1016,style,1
1017,restaurant,2
1018,t3,1
1019,food,2
1020,court,1
1021,delhi,1
1022,high,1
1023,veena,1
1024,stores,2
1025,banagalore,1
1026,equivalent,1
1027,bubble,2
1028,stranger,1
1029,offered,1
1030,co,1
1031,founder,1
1032,role,1
1033,crypto,2
1034,startup,1
1035,10,1
1036,minute,1
1037,chat,1
1038,startups,1
1039,playing,1
1040,w,1
1041,fire,1
1042,life,1
1043,goes,1
1044,played,1
1045,random,1
1046,street,1
1047,dogratishaa,1
1048,beautiful,2
1049,video,1
1050,made,2
1051,met,1
1052,girl,1
1053,said,1
1054,recognised,2
1055,cuz,1
1056,seen,1
1057,helped,1
1058,take,2
1059,bus,1
1060,words,2
1061,omg,1
1062,u,2
1063,lost,1
1064,weight,1
1065,hair,2
1066,rlly,1
1067,nice,1
1068,crazy,1
1069,makes,1
1070,memorable,1
1071,people,2
1072,saw,1
1073,sparrows,4
1074,inside,3
1075,several,1
1076,number,1
1077,got,1
1078,breweries,1
1079,restaurants,2
1080,sweetshops,1
1081,whatever,1
1082,need,3
1083,wish,1
1084,would,1
1085,indian,2
1086,flag,1
1087,tricolour,1
1088,tajbangalore,1
1089,ashwinrb,1
1090,iphonexs,1
1091,iphoneography,1
1092,shotoniphone,1
1093,77,1
1094,east,1
1095,taj,1
1096,good,4
1097,drink,1
1098,beer,3
1099,windmills,2
1100,place,2
1101,minimalism,2
1102,adorable,1
1103,cafeteller,1
1104,cafehopper,1
1105,teampixel,1
1106,cafelife,1
1107,caferacersofinstagram,1
1108,nammabengaluru,1
1109,waiting,2
1110,interesting,1
1111,adventurous,1
1112,barleys,1
1113,grapes,1
1114,kempegowda,1
1115,lounge,3
1116,bengaluru,1
1117,noir,4
1118,gives,1
1119,way,4
1120,freshmenu,1
1121,meanwhile,1
1122,maiyya,1
1123,next,2
1124,door,1
1125,continues,1
1126,rock,1
1127,fave,1
1128,hatti,1
1129,kappi,1
1130,subway,1
1131,something,1
1132,plus,1
1133,seating,1
1134,overheard,1
1135,looks,1
1136,like,2
1137,lalit,1
1138,modi,1
1139,happy,1
1140,new,2
1141,year,3
1142,lemon,1
1143,tart,1
1144,pretty,1
1145,damn,1
1146,may,1
1147,tarty,1
1148,buggers,1
1149,player,1
1150,jersey,1
1151,area,1
1152,speaking,1
1153,odia,1
1154,slangs,1
1155,aloud,1
1156,even,2
1157,sports,1
1158,change,1
1159,assholes,1
1160,french,2
1161,sells,2
1162,raja,1
1163,get,2
1164,mumbai,1
1165,idea,1
1166,ghadazien,1
1167,man,1
1168,struggling,1
1169,alu,1
1170,paratha,1
1171,fork,1
1172,knife,1
1173,torture,1
1174,watch,1
1175,ist,1
1176,exchanged,1
1177,kullhar,1
1178,south,1
1179,also,2
1180,must,1
1181,kinds,1
1182,idli,1
1183,vada,1
1184,masala,2
1185,dosa,1
1186,malgudi,1
1187,janat,1
1188,start,4
1189,greeted,1
1190,followed,1
1191,breakfast,3
1192,brahmins,1
1193,smoke,1
1194,latte,1
1195,smoking,1
1196,zone,1
